1006 06:04	Bok일반
1006 05:27	Dungeon_week 군단 강하 지점
1006 05:24	Dungeon_week 파괴된 설비 지대
1006 03:07	Bok일반
1006 03:03	Bok일반
1005 11:07	Bok일반
1005 11:04	Bok일반
1005 09:06	Bok일반
1005 09:03	Bok일반
1005 08:06	Bok일반
1005 08:03	Bok일반
1005 06:06	Bok일반
1005 06:03	Bok일반
1005 05:26	Dungeon_week 기지 5층 C구역
1005 05:23	Dungeon_week 기지 5층 C구역
1005 03:06	Bok일반
1005 03:03	Bok일반
1005 02:07	Bok일반
1005 02:04	Bok일반
1005 01:07	Bok일반
1005 01:04	Bok일반
1005 00:06	Bok일반
1005 00:03	Bok일반
1004 23:06	Bok일반
1004 23:03	Bok일반
1004 22:07	Bok일반
1004 22:04	Bok일반
1004 21:07	Bok일반
1004 21:04	Bok일반
1004 09:06	Bok일반
1004 09:03	Bok일반
1004 08:07	Bok일반
1004 08:04	Bok일반
1004 07:06	Bok일반
1004 07:04	Bok일반
1004 06:06	Bok일반
1004 06:03	Bok일반
1004 05:26	Dungeon_week 기지 5층 C구역
1004 05:23	Dungeon_week 기지 5층 C구역
1004 04:06	Bok일반
1004 04:03	Bok일반
1004 03:06	Bok일반
1004 03:03	Bok일반
1004 02:06	Bok일반
1004 02:03	Bok일반
1003 10:50	Bok일반
1003 10:47	Bok광장
1003 05:23	Dungeon_week 기지 5종 A구역
1003 04:06	Bok일반
1003 04:03	Bok일반
1003 02:06	Bok일반
1003 02:04	Bok일반
1003 00:08	Bok일반
1003 00:05	Bok광장
1002 23:08	Bok일반
1002 23:05	Bok광장
1002 22:06	Bok일반
1002 22:03	Bok일반
1002 21:07	Bok일반
1002 21:04	Bok일반
1002 20:06	Bok일반
1002 20:03	Bok일반
1002 19:07	Bok일반
1002 19:04	Bok일반
1002 18:06	Bok일반
1002 18:04	Bok일반
1002 17:06	Bok일반
1002 17:03	Bok일반
1002 16:20	Bok일반
1002 16:17	Bok일반
1002 15:07	Bok일반
1002 15:04	Bok일반
1002 14:06	Bok일반
1002 14:03	Bok일반
1002 13:07	Bok일반
1002 13:04	Bok일반
1002 12:06	Bok일반
1002 12:03	Bok일반
1002 11:07	Bok일반
1002 11:04	Bok일반
1002 10:06	Bok일반
1002 10:03	Bok일반
1002 09:06	Bok일반
1002 09:04	Bok일반
1002 08:07	Bok일반
1002 08:04	Bok일반
1001 10:35	Bok일반
1001 10:32	Bok일반
1001 09:35	Bok일반
1001 09:32	Bok일반
1001 08:36	Bok일반
1001 08:33	Bok광장
1001 07:07	Bok일반
1001 07:04	Bok일반
1001 06:06	Bok일반
1001 06:03	Bok일반
1001 05:27	Dungeon_week 기지 5증 B구역
1001 05:23	Dungeon_week 기지 5충 B구역
1001 04:07	Bok일반
1001 04:04	Bok일반
1001 03:06	Bok일반
1001 03:03	Bok일반
1001 02:07	Bok일반
1001 02:04	Bok일반
1001 01:06	Bok일반
1001 01:03	Bok일반
0930 19:07	Bok일반
0930 19:04	Bok일반
0930 18:06	Bok일반
0930 18:03	Bok일반
0930 17:07	Bok일반
0930 17:04	Bok일반
0930 16:07	Bok일반
0930 16:04	Bok일반
0930 15:06	Bok일반
0930 15:04	Bok일반
0930 14:07	Bok일반
0930 14:04	Bok일반
0930 13:07	Bok일반
0930 13:04	Bok일반
0930 12:06	Bok일반
